program,source,type,size,hdr.ipv4.total_len,hdr.ipv4.protocol,hdr.ipv4.flags[1:1],hdr.ipv4.ttl,meta.srcPort,meta.dstPort,meta.flag[2:2],meta.flag[1:1],tcam_used,tcam_total,tcam_percent,tcam_fraction,sram_used,sram_total,sram_percent,sram_fraction
sample_ranges_0_ternaries_1_exacts_7_size_3727,new,ranges,3727,0,0,0,0,0,0,0,0,24,288,8.33%,24/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_1_exacts_7_size_4360,new,ranges,4360,0,0,0,0,0,0,0,0,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_4502,new,ranges,4502,0,0,1,0,0,0,0,0,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_4736,new,ranges,4736,0,1,0,0,0,0,0,0,30,288,10.42%,30/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_5598,new,ranges,5598,0,0,0,0,0,0,1,0,33,288,11.46%,33/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_5992,new,ranges,5992,0,0,1,0,0,0,0,0,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_6053,new,ranges,6053,0,0,0,0,0,0,0,1,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_6541,new,ranges,6541,0,0,0,0,0,0,0,0,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_6583,new,ranges,6583,0,0,0,0,0,0,1,0,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_6908,new,ranges,6908,0,0,0,0,0,0,0,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_7076,new,ranges,7076,1,0,0,0,0,0,0,0,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_7276,new,ranges,7276,0,0,0,0,0,0,0,0,45,288,15.62%,45/288,2,960,0.21%,2/960
