total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,memory
2,2,0,3,2,3,3,2,1527,778.24
3,3,2,2,3,2,2,0,1641,573.44
2,2,3,0,3,2,2,3,1775,696.32
0,3,2,2,2,3,3,2,1821,1044.48
2,3,3,2,2,3,0,2,1832,931.84
3,2,2,0,2,3,3,2,1888,768.0
2,3,2,3,3,2,2,0,1979,716.8
2,2,3,0,2,3,3,2,2094,921.6
3,3,2,2,0,3,2,2,2152,952.32
2,0,2,2,3,3,3,2,2181,911.36
2,2,3,2,3,0,3,2,2219,1269.76
2,3,2,2,3,3,2,0,2303,819.2
3,2,2,2,2,3,0,3,2308,860.16
2,2,3,3,2,0,3,2,2337,849.92
2,0,2,2,3,3,2,3,2357,972.8
2,2,3,2,3,2,0,3,2367,931.84
0,2,2,3,3,2,3,2,2413,1044.48
2,0,3,3,3,2,2,2,2463,1085.44
0,3,3,2,2,2,2,3,2465,1003.52
2,3,2,2,2,3,0,3,2531,1095.68
2,2,0,2,2,3,3,3,2588,972.8
3,2,2,0,2,2,3,3,2610,901.12
2,2,3,3,3,2,2,0,2765,1044.48
2,0,2,3,2,3,3,2,2947,1085.44
3,2,0,2,3,3,2,2,2999,942.08
2,2,0,2,3,3,2,3,3067,1167.36
0,3,2,2,2,3,3,2,339,552.96
3,2,2,2,2,3,3,0,3402,1269.76
3,2,2,0,3,2,3,2,3473,1259.52
2,0,3,2,2,3,3,2,3587,1146.88
3,3,3,2,2,2,2,0,359,378.88
2,2,3,2,0,3,3,2,3741,1300.48
2,2,2,2,0,3,3,3,3756,1280.0
2,2,3,2,3,0,2,3,3923,1239.04
3,2,2,3,3,2,2,0,4019,1495.04
3,3,2,2,0,2,3,2,4033,1443.84
0,3,2,2,3,3,2,2,501,563.2
0,2,3,2,2,3,2,3,749,645.12
2,2,2,3,0,2,2,3,1080,706.56
2,2,2,3,2,3,0,2,1095,768.0
2,2,2,2,2,0,3,3,1113,788.48
3,2,2,2,2,0,3,2,1135,430.08
2,0,3,2,2,2,2,3,1275,808.96
2,2,2,2,3,0,2,3,1393,573.44
0,2,3,2,3,2,2,2,1457,901.12
0,2,2,3,3,2,2,2,1525,624.64
2,2,2,3,2,0,3,2,160,368.64
3,2,2,0,2,2,3,2,1617,696.32
0,2,3,3,2,2,2,2,1749,512.0
2,2,2,2,0,2,3,3,1803,839.68
3,0,2,2,2,2,3,2,1873,921.6
2,2,2,2,0,3,2,3,1930,901.12
2,2,3,2,2,2,3,0,1947,860.16
2,2,3,2,3,0,2,2,2089,1116.16
3,2,3,0,2,2,2,2,2147,931.84
2,0,3,3,2,2,2,2,2148,880.64
2,2,2,3,2,0,2,3,2163,747.52
2,2,2,3,2,3,2,0,2165,911.36
2,3,3,2,2,0,2,2,2168,972.8
3,2,2,2,3,0,2,2,2185,839.68
3,2,0,2,2,2,3,2,2186,819.2
0,2,2,3,2,2,3,2,2198,931.84
2,2,3,3,2,2,2,0,2274,1259.52
2,2,3,2,0,2,3,2,2344,716.8
2,3,3,2,0,2,2,2,2352,696.32
3,2,3,2,0,2,2,2,2363,1034.24
2,2,2,2,0,2,3,3,2547,788.48
2,2,0,3,2,2,3,2,2586,901.12
2,3,3,2,2,0,2,2,2691,931.84
2,3,3,2,2,2,0,2,2973,747.52
2,2,0,3,2,2,3,2,3006,1228.8
2,2,3,2,0,2,2,3,3140,1003.52
3,2,2,3,2,2,0,2,3161,1269.76
3,2,2,2,2,0,2,3,322,296.96
2,2,3,2,2,3,0,2,3234,1095.68
2,3,0,2,2,3,2,2,3315,1310.72
0,2,2,2,3,2,3,2,3335,1146.88
3,3,0,2,2,2,2,2,3433,1095.68
2,3,2,3,2,0,2,2,3736,1218.56
2,2,3,2,2,3,0,2,376,378.88
2,3,2,2,2,3,0,2,3831,1331.2
3,2,2,2,2,2,0,3,3877,1269.76
3,2,0,2,3,2,2,2,3984,1464.32
2,3,2,3,0,2,2,2,410,634.88
2,3,0,2,2,3,2,2,415,430.08
3,0,3,2,2,2,2,2,451,563.2
2,0,2,3,3,2,2,2,465,491.52
2,2,2,3,3,2,0,2,637,512.0
2,2,3,2,2,3,2,0,664,686.08
3,2,3,0,2,2,2,2,695,727.04
2,3,3,2,2,2,2,0,936,716.8
2,3,2,2,3,2,2,0,995,634.88
2,2,2,2,0,2,3,2,1200,552.96
2,2,2,2,0,2,3,2,1215,747.52
2,2,2,3,2,2,2,0,1261,460.8
2,2,2,2,2,0,3,2,1328,512.0
2,2,2,2,2,0,3,2,1530,727.04
2,2,2,2,0,2,2,3,1770,788.48
0,2,2,2,3,2,2,2,1778,1228.8
2,2,2,2,2,3,2,0,1914,952.32
2,2,3,2,2,2,2,0,2348,1054.72
2,2,2,2,0,3,2,2,2446,1187.84
2,2,3,2,2,2,2,0,2605,1239.04
2,2,2,0,2,3,2,2,2653,1228.8
2,3,2,2,2,2,2,0,2657,880.64
2,0,2,2,2,3,2,2,2692,911.36
2,2,2,2,3,0,2,2,273,522.24
0,2,2,2,2,3,2,2,2748,1280.0
0,2,2,3,2,2,2,2,2763,1177.6
2,3,2,2,2,2,0,2,2863,1075.2
2,2,0,2,2,3,2,2,3240,1177.6
2,3,0,2,2,2,2,2,324,512.0
2,2,0,2,2,2,2,3,3477,1433.6
3,2,0,2,2,2,2,2,3587,1361.92
2,2,2,2,0,3,2,2,3638,1474.56
3,2,2,0,2,2,2,2,3738,1187.84
2,3,2,2,0,2,2,2,3749,1413.12
2,2,2,3,2,0,2,2,3773,1310.72
2,2,2,2,3,2,0,2,3951,1280.0
0,2,2,3,2,2,2,2,3978,1433.6
2,2,0,2,2,3,2,2,4034,1310.72
2,0,2,2,2,3,2,2,45,419.84
2,2,0,2,2,3,2,2,501,552.96
2,0,2,2,2,3,2,2,642,604.16
2,2,2,2,2,0,2,3,768,665.6
2,2,2,3,2,2,2,0,773,583.68
2,2,2,2,2,0,3,2,804,532.48
2,0,2,2,2,2,2,3,862,522.24
