total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,cpu,memory
2,2,3,2,3,0,3,2,2219,0.50,27.24
2,3,2,2,3,3,2,0,2303,0.40,26.80
3,2,2,2,2,3,0,3,2308,0.50,26.84
2,2,3,3,2,0,3,2,2337,0.50,26.83
2,0,2,2,3,3,2,3,2357,0.60,26.95
2,2,3,2,3,2,0,3,2367,0.50,26.91
0,2,2,3,3,2,3,2,2413,0.40,27.02
2,0,3,3,3,2,2,2,2463,0.80,27.06
0,3,3,2,2,2,2,3,2465,0.60,26.98
2,3,2,2,2,3,0,3,2531,0.60,27.07
2,2,0,2,2,3,3,3,2588,0.50,26.95
3,2,2,0,2,2,3,3,2610,0.70,26.88
2,2,3,3,3,2,2,0,2765,0.50,27.02
2,0,2,3,2,3,3,2,2947,0.70,27.06
3,2,0,2,3,3,2,2,2999,0.40,26.92
2,2,0,2,3,3,2,3,3067,0.50,27.14
0,3,2,2,2,3,3,2,339,0.60,26.54
3,2,2,2,2,3,3,0,3402,0.50,27.24
3,2,2,0,3,2,3,2,3473,0.50,27.23
2,0,3,2,2,3,3,2,3587,0.50,27.12
3,3,3,2,2,2,2,0,359,0.50,26.37
2,2,3,2,0,3,3,2,3741,0.50,27.27
2,2,2,2,0,3,3,3,3756,0.50,27.25
2,2,3,2,3,0,2,3,3923,0.50,27.21
3,2,2,3,3,2,2,0,4019,0.40,27.46
3,3,2,2,0,2,3,2,4033,0.60,27.41
0,3,2,2,3,3,2,2,501,0.60,26.55
0,2,3,2,2,3,2,3,749,0.60,26.63
2,2,2,3,0,2,2,3,1080,0.50,26.69
2,2,2,3,2,3,0,2,1095,0.50,26.75
2,2,2,2,2,0,3,3,1113,0.60,26.77
3,2,2,2,2,0,3,2,1135,0.80,26.42
2,0,3,2,2,2,2,3,1275,0.50,26.79
2,2,2,2,3,0,2,3,1393,0.50,26.56
0,2,3,2,3,2,2,2,1457,0.60,26.88
